graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
small,1,100,0.15,32,24,dijkstra,1,0.171167,79,0.610292
small,1,100,0.15,32,24,dijkstra,2,0.168209,79,0.610292
small,1,100,0.15,32,24,dijkstra,3,0.256125,79,0.610292
small,1,100,0.15,32,24,astar,1,0.071167,11,0.610292
small,1,100,0.15,32,24,astar,2,0.058375,11,0.610292
small,1,100,0.15,32,24,astar,3,0.055667,11,0.610292
small,1,100,0.15,32,24,dijkstra_bidireccional,1,0.164000,45,0.668377
small,1,100,0.15,32,24,dijkstra_bidireccional,2,0.209625,45,0.668377
small,1,100,0.15,32,24,dijkstra_bidireccional,3,0.151917,45,0.668377
small,1,100,0.15,27,77,dijkstra,1,0.090958,38,0.363906
small,1,100,0.15,27,77,dijkstra,2,0.089584,38,0.363906
small,1,100,0.15,27,77,dijkstra,3,0.089208,38,0.363906
small,1,100,0.15,27,77,astar,1,0.021125,2,0.363906
small,1,100,0.15,27,77,astar,2,0.018000,2,0.363906
small,1,100,0.15,27,77,astar,3,0.017125,2,0.363906
small,1,100,0.15,27,77,dijkstra_bidireccional,1,0.130917,38,0.381944
small,1,100,0.15,27,77,dijkstra_bidireccional,2,0.125583,38,0.381944
small,1,100,0.15,27,77,dijkstra_bidireccional,3,0.123459,38,0.381944
small,1,100,0.15,59,6,dijkstra,1,0.186917,82,0.815075
small,1,100,0.15,59,6,dijkstra,2,0.186792,82,0.815075
small,1,100,0.15,59,6,dijkstra,3,0.181208,82,0.815075
small,1,100,0.15,59,6,astar,1,0.014792,2,0.815075
small,1,100,0.15,59,6,astar,2,0.013459,2,0.815075
small,1,100,0.15,59,6,astar,3,0.013416,2,0.815075
small,1,100,0.15,59,6,dijkstra_bidireccional,1,0.109833,29,0.831443
small,1,100,0.15,59,6,dijkstra_bidireccional,2,0.106916,29,0.831443
small,1,100,0.15,59,6,dijkstra_bidireccional,3,0.105375,29,0.831443
small,1,100,0.15,28,36,dijkstra,1,0.067750,25,0.502324
small,1,100,0.15,28,36,dijkstra,2,0.065333,25,0.502324
small,1,100,0.15,28,36,dijkstra,3,0.064250,25,0.502324
small,1,100,0.15,28,36,astar,1,0.034291,4,0.502324
small,1,100,0.15,28,36,astar,2,0.032583,4,0.502324
small,1,100,0.15,28,36,astar,3,0.032042,4,0.502324
small,1,100,0.15,28,36,dijkstra_bidireccional,1,0.071459,14,0.562119
small,1,100,0.15,28,36,dijkstra_bidireccional,2,0.091584,14,0.562119
small,1,100,0.15,28,36,dijkstra_bidireccional,3,0.075417,14,0.562119
small,1,100,0.15,27,42,dijkstra,1,0.089500,37,0.363564
small,1,100,0.15,27,42,dijkstra,2,0.088333,37,0.363564
small,1,100,0.15,27,42,dijkstra,3,0.098791,37,0.363564
small,1,100,0.15,27,42,astar,1,0.020541,2,0.363564
small,1,100,0.15,27,42,astar,2,0.017541,2,0.363564
small,1,100,0.15,27,42,astar,3,0.016958,2,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,1,0.072750,14,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,2,0.071334,14,0.363564
small,1,100,0.15,27,42,dijkstra_bidireccional,3,0.069417,14,0.363564
